annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2024;800010502;Delique-Saint-Gilles;;;RUE;PAUL DELIQUE;RUE PAUL DELIQUE;1;55.791;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;197
2022;800010401;Faubourg de la Bouvaque;;;;PARC ACTIVITES DU SCANDON;PARC ACTIVITES DU SCANDON;1;659.676;INDUSTRIE;ENT;22;80001;Abbeville;200070993;80;32;197
2023;800010401;Faubourg de la Bouvaque;;;;PARC ACTIVITES DU SCANDON;PARC ACTIVITES DU SCANDON;1;592.586;INDUSTRIE;ENT;22;80001;Abbeville;200070993;80;32;198
2022;800010501;La Porte au Bois;;;;PARC D'ACTIVITE;PARC D'ACTIVITE;1;126.441;TERTIAIRE;ENT;46;80001;Abbeville;200070993;80;32;198
2024;800010501;La Porte au Bois;14;;RUE;PAUL VIMEREU;14 RUE PAUL VIMEREU;1;73.876;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;198
2021;620050000;Achiet-le-Grand (commune non irisée);2;;RUE;DE LA CONCORDE;2 RUE DE LA CONCORDE;1;24.304;TERTIAIRE;ENT;84;62005;Achiet-le-Grand;200035442;62;32;198
2022;800010102;Centre Ville-Saint-Vulfran;19;;RUE;PASTEUR;19 RUE PASTEUR;1;0.071;TERTIAIRE;ENT;64;80001;Abbeville;200070993;80;32;199
2021;620060000;Achiet-le-Petit (commune non irisée);5;;RUE;DE MIRAUMONT;5 RUE DE MIRAUMONT;1;472.562;AGRICULTURE;ENT;01;62006;Achiet-le-Petit;200035442;62;32;199
2024;800010501;La Porte au Bois;;;RUE;PAUL VIMEREU;RUE PAUL VIMEREU;1;37.73;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;199
2023;800010501;La Porte au Bois;;;;PARC D'ACTIVITE;PARC D'ACTIVITE;1;87.382;TERTIAIRE;ENT;46;80001;Abbeville;200070993;80;32;199
2024;800010401;Faubourg de la Bouvaque;;;;POSTE DES 3 RIVIERES, ZI, RUE DU;POSTE DES 3 RIVIERES, ZI, RUE DU;1;34.297;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;200
2021;620060000;Achiet-le-Petit (commune non irisée);18;;RUE;JEAN DECQUES;18 RUE JEAN DECQUES;2;74.452;AGRICULTURE;ENT;01;62006;Achiet-le-Petit;200035442;62;32;200
2023;800010102;Centre Ville-Saint-Vulfran;19;;RUE;PASTEUR;19 RUE PASTEUR;1;0.117;TERTIAIRE;ENT;64;80001;Abbeville;200070993;80;32;200
2022;800010501;La Porte au Bois;1;;RUE;PAUL DELIQUE;1 RUE PAUL DELIQUE;1;903.681;TERTIAIRE;ENT;85;80001;Abbeville;200070993;80;32;200
2022;800010502;Delique-Saint-Gilles;;;RUE;PAUL DELIQUE;RUE PAUL DELIQUE;1;66.756;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;201
2023;800010501;La Porte au Bois;1;;RUE;PAUL DELIQUE;1 RUE PAUL DELIQUE;1;844.51;TERTIAIRE;ENT;85;80001;Abbeville;200070993;80;32;201
2021;780050107;Montsouris;40;B;AVENUE;CONFLANS;40 B AVENUE CONFLANS;1;4.981;TERTIAIRE;ENT;68;78005;Achères;200059889;78;11;201
2024;800010503;Ponthieu-Bagatelle;;;;RD 1001;RD 1001;1;129.288;TERTIAIRE;ENT;70;80001;Abbeville;200070993;80;32;201
2024;800010501;La Porte au Bois;26;;RUE;RENE DINGEON;26 RUE RENE DINGEON;1;44.686;INDUSTRIE;ENT;43;80001;Abbeville;200070993;80;32;202
2021;780050104;Thorez;1;;RUE;DE LA CHAUFFERIE;1 RUE DE LA CHAUFFERIE;1;338.131;INDUSTRIE;ENT;35;78005;Achères;200059889;78;11;202
2023;800010502;Delique-Saint-Gilles;;;RUE;PAUL DELIQUE;RUE PAUL DELIQUE;1;56.287;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;202
2022;800010501;La Porte au Bois;14;;RUE;PAUL VIMEREU;14 RUE PAUL VIMEREU;1;91.524;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;202
2021;780050109;Chêne Feuillu;1;;RUE;DE LA CROIX ROMPUE;1 RUE DE LA CROIX ROMPUE;1;27.419;INDUSTRIE;ENT;43;78005;Achères;200059889;78;11;203
2024;800010501;La Porte au Bois;14;;RUE;RENE DINGEON;14 RUE RENE DINGEON;1;74.036;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;203
2022;800010501;La Porte au Bois;;;RUE;PAUL VIMEREU;RUE PAUL VIMEREU;1;42.63;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;203
2023;800010501;La Porte au Bois;14;;RUE;PAUL VIMEREU;14 RUE PAUL VIMEREU;1;81.718;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;203
2024;800010501;La Porte au Bois;12;;RUE;RENE DINGEON;12 RUE RENE DINGEON;1;17.872;TERTIAIRE;ENT;94;80001;Abbeville;200070993;80;32;204
2023;800010501;La Porte au Bois;;;RUE;PAUL VIMEREU;RUE PAUL VIMEREU;1;48.264;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;204
2022;800010401;Faubourg de la Bouvaque;;;;POSTE DES 3 RIVIERES, ZI, RUE DU CHATE;POSTE DES 3 RIVIERES, ZI, RUE DU CHATE;1;26.115;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;204
2021;780050105;Porte de Seine;9;;ALLEE;DE LA RHUBARBE;9 ALLEE DE LA RHUBARBE;1;11.071;TERTIAIRE;ENT;45;78005;Achères;200059889;78;11;204
2024;800010501;La Porte au Bois;;;RUE;RENE DINGEON;RUE RENE DINGEON;1;1017.532;TERTIAIRE;ENT;46;80001;Abbeville;200070993;80;32;205
2021;780050105;Porte de Seine;6;;ALLEE;DE LA RHUBARBE;6 ALLEE DE LA RHUBARBE;1;298.553;TERTIAIRE;ENT;71;78005;Achères;200059889;78;11;205
2023;800010401;Faubourg de la Bouvaque;;;;POSTE DES 3 RIVIERES, ZI, RUE DU CHATE;POSTE DES 3 RIVIERES, ZI, RUE DU CHATE;1;38.028;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;205
2022;800010501;La Porte au Bois;;;;R O U T E   D ' A M I E N S;R O U T E D ' A M I E N S;2;102.593;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;205
2024;800010501;La Porte au Bois;;;RUE;RENE DINGEON;RUE RENE DINGEON;1;14.608;INDUSTRIE;ENT;43;80001;Abbeville;200070993;80;32;206
2022;800010501;La Porte au Bois;;;;R O U T E   D ' A M I E N S   R N 1;R O U T E D ' A M I E N S R N 1;1;180.67;TERTIAIRE;ENT;45;80001;Abbeville;200070993;80;32;206
